Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE416_Use_After_Free__malloc_free_int_01.good,x86-64,ghidra,Success,6.75,695.57,81,17,61
CWE416_Use_After_Free__malloc_free_int_01.good,x86-64,angr,Success,.94,114.74,117,212,3191
CWE416_Use_After_Free__malloc_free_int_01.good,x86-64,llvm,Success,.04,9.87,0,0,770
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_memcpy_01.bad,x86-64,ghidra,Success,6.24,605.49,77,15,53
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_memcpy_01.bad,x86-64,angr,Success,.85,114.74,109,202,3183
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_declare_memcpy_01.bad,x86-64,llvm,Success,.02,9.94,0,0,767
CWE416_Use_After_Free__malloc_free_wchar_t_01.good,x86-64,ghidra,Success,5.69,638.97,83,18,65
CWE416_Use_After_Free__malloc_free_wchar_t_01.good,x86-64,angr,Success,.82,114.78,121,213,3144
CWE416_Use_After_Free__malloc_free_wchar_t_01.good,x86-64,llvm,Success,.01,10.12,0,0,772
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cpy_01.bad,x86-64,ghidra,Success,5.68,598.66,79,16,57
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cpy_01.bad,x86-64,angr,Success,.81,114.68,113,225,3866
CWE121_Stack_Based_Buffer_Overflow__dest_char_alloca_cpy_01.bad,x86-64,llvm,Success,.01,9.93,0,0,904
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_ncpy_01.bad,x86-64,ghidra,Success,6.96,658.83,85,19,69
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_ncpy_01.bad,x86-64,angr,Success,1.01,114.95,125,228,3353
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_ncpy_01.bad,x86-64,llvm,Success,.02,10.06,0,0,823
CWE190_Integer_Overflow__int64_t_max_preinc_01.good,x86-64,ghidra,Success,7.25,636.19,75,14,49
CWE190_Integer_Overflow__int64_t_max_preinc_01.good,x86-64,angr,Success,.93,114.61,105,188,3018
CWE190_Integer_Overflow__int64_t_max_preinc_01.good,x86-64,llvm,Success,.02,10.06,0,0,730
CWE121_Stack_Based_Buffer_Overflow__dest_char_declare_cat_01.bad,x86-64,ghidra,Success,7.27,606.26,79,16,57
CWE121_Stack_Based_Buffer_Overflow__dest_char_declare_cat_01.bad,x86-64,angr,Success,.93,114.78,113,205,3178
CWE121_Stack_Based_Buffer_Overflow__dest_char_declare_cat_01.bad,x86-64,llvm,Success,.02,10.32,0,0,776
CWE122_Heap_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_01.bad,x86-64,ghidra,Success,6.99,653.50,79,16,57
CWE122_Heap_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_01.bad,x86-64,angr,Success,1.05,114.50,113,207,3282
CWE122_Heap_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_01.bad,x86-64,llvm,Success,.02,9.98,0,0,808
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_memcpy_01.good,x86-64,ghidra,Success,7.06,556.95,86,20,73
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_memcpy_01.good,x86-64,angr,Success,.98,114.98,128,221,3161
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_memcpy_01.good,x86-64,llvm,Success,.01,10.06,0,0,784
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_01.bad,x86-64,ghidra,Success,6.97,571.09,85,19,69
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_01.bad,x86-64,angr,Success,1.02,114.85,125,234,3553
CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_01.bad,x86-64,llvm,Success,.01,10.40,0,0,855
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_ncpy_01.good,x86-64,ghidra,Success,7.35,563.89,78,16,57
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_ncpy_01.good,x86-64,angr,Success,.98,114.63,112,206,3360
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_ncpy_01.good,x86-64,llvm,Success,.01,10.04,0,0,801
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_memcpy_01.good,x86-64,ghidra,Success,7.11,704.67,82,18,65
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_memcpy_01.good,x86-64,angr,Success,1.13,114.61,120,209,3200
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_char_memcpy_01.good,x86-64,llvm,Success,.02,9.92,0,0,786
CWE190_Integer_Overflow__int64_t_max_postinc_01.bad,x86-64,ghidra,Success,7.65,675.92,76,14,49
CWE190_Integer_Overflow__int64_t_max_postinc_01.bad,x86-64,angr,Success,1.48,114.48,106,193,3121
CWE190_Integer_Overflow__int64_t_max_postinc_01.bad,x86-64,llvm,Success,.02,10.40,0,0,754
CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_loop_01.bad,x86-64,ghidra,Success,8.07,557.67,77,15,53
CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_loop_01.bad,x86-64,angr,Success,1.36,114.66,109,224,4085
CWE121_Stack_Based_Buffer_Overflow__CWE193_wchar_t_alloca_loop_01.bad,x86-64,llvm,Success,.02,10.00,0,0,931
CWE122_Heap_Based_Buffer_Overflow__CWE131_memcpy_01.good,x86-64,ghidra,Success,8.26,648.12,82,18,65
CWE122_Heap_Based_Buffer_Overflow__CWE131_memcpy_01.good,x86-64,angr,Success,1.09,114.89,120,209,3087
CWE122_Heap_Based_Buffer_Overflow__CWE131_memcpy_01.good,x86-64,llvm,Success,.02,9.95,0,0,757
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_memcpy_01.good,x86-64,ghidra,Success,8.19,682.32,80,17,61
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_memcpy_01.good,x86-64,angr,Success,1.07,114.75,116,202,3072
CWE121_Stack_Based_Buffer_Overflow__CWE806_char_declare_memcpy_01.good,x86-64,llvm,Success,.01,10.21,0,0,755
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_01.good,x86-64,ghidra,Success,7.69,569.44,76,15,53
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_01.good,x86-64,angr,Success,1.14,114.74,108,200,3336
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_01.good,x86-64,llvm,Success,.02,10.40,0,0,790
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int_memmove_01.bad,x86-64,ghidra,Success,7.71,708.03,83,18,65
CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int_memmove_01.bad,x86-64,angr,Success,1.11,114.58,121,225,3336
